id,instituicao,bairro,cep,cidade,descricao,fields/email,fields/endereco,fields/entidade_que_administra_o_abrigo,fields/estado,fields/facebook,idade,numero_de_criancas,pais,possui_programa_de_apadrinhamento_afetivo,responsavel,site,telefone,end_format,lat_long,user_inst,logo_img,autorizado,editado
67,Casa rocha,Jardim Eliza Maria,2873520,São Paulo,Ligada a ONG Arca do Brasil.,arcadobrasil@uol.com.br,rua manoel aquilino dos santos 163,,SP,,de 0 a 18 anos,5,Brasil,,,,11-3851-3459,"['Rua Manuel Aquilino dos Santos, 163, Brasilândia, São Paulo - SP, 02873-520, Brasil, São Paulo, SP 02873-520, BRA', (-23.45945, -46.68318)]","-23.45945,-46.68318",,,false,false
68,Comunidade educacional de base sitio pinheirinho,Jardim Guairaca,3244090,São Paulo,,,rua jacitára tipiti 04,,SP,,de 0 a 18 anos,100,Brasil,,,,11-2701-8638,"['Rua Jacitara Tipiti, São Lucas, São Paulo - SP, 03244-090, Brasil, São Paulo, SP 03244-090, BRA', (-23.60443, -46.54038)]","-23.60443,-46.54038",,,false,false
69,Lar da criança favos de luz,Jardim Independencia,3223000,São Paulo,,favosdeluz.favosdeluz@gmail.com,rua susana 236,,SP,,de 0 a 17 anos,22,Brasil,,Cristina Vaz,http //www.favosdeluz.org.br,11-2917-1636,"['Rua Susana, 236, São Lucas, São Paulo - SP, 03223-000, Brasil, São Paulo, SP 03223-000, BRA', (-23.5913, -46.55993)]","-23.5913,-46.55993",,,false,false
70,Abrigo casa limiar,Jardim Kioto,4832070,São Paulo,"Acolhe crianças em situação de risco. Ligado a ONG Limiar, que auxilia na adoção internacional de crianças brasileiras.",limiar@limiar.org,rua arcachon 55,,SP,,,21,Brasil,,Beth ou Eucely,http //www.limiar.org/,11-5928-4157,"['Rua Arcachon, 55, Cidade Dutra, São Paulo - SP, 04832-070, Brasil, São Paulo, SP 04832-070, BRA', (-23.73243, -46.71868)]","-23.73243,-46.71868",,,false,false
71,Lar são gabriel,Jardim Lucélia,4852228,São Paulo,Ligado a ONG Centro de Promoção Social Bororé.,cpsborore@terra.com.br,av.general golbery do couto e silva 93,,SP,,de 0 a 8 anos,10,Brasil,,Lar São Rafael,http //www.borore.org.br,11-55281823,,,,,false,false
72,Lar são miguel,Jardim Lucélia,4852228,São Paulo,Ligado a ONG Centro de Promoção Social Bororé.,,av. general golbery do couto e silva 93,,SP,,de 2 a 17 anos,10,Brasil,,,,11-5528-1823,,,,,false,false
73,Salesiano santa luzia,Jardim Nordeste,3691180,São Paulo,Ligado a ONG Centro Social da Paróquia Santa Luzia.,,rua tauá 313,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2146-6864,"['Rua Tauá, 313, Artur Alvim, São Paulo - SP, 03691-180, Brasil, São Paulo, SP 03691-180, BRA', (-23.53447, -46.4806)]","-23.53447,-46.4806",,,false,false
74,Dr. paulo evaristo arns,Jardim Oriental,4347000,São Paulo,Ligado a ONG COR - Centro de Orientação a família.,CORFAMILIA@UOL.COM.BR,rua antonio madi 256,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5016-2696,"['Rua Antônio Madi, 256, Jabaquara, São Paulo - SP, 04347-000, Brasil, São Paulo, SP 04347-000, BRA', (-23.64111, -46.6465)]","-23.64111,-46.6465",,,false,false
75,Centro de apoio a criança carente com câncer - candida bermejo,Jardim Pirajussara,5786160,São Paulo,,centrocbc@centrocbc.org.br,rua miguel gonçalves correia 157,,SP,,de 0 a 18 anos,28,Brasil,,,,11-5843-6384,"['Rua Miguel Gonçalves Correia, 157, Campo Limpo, São Paulo - SP, 05786-160, Brasil, São Paulo, SP 05786-160, BRA', (-23.63506, -46.77135)]","-23.63506,-46.77135",,,false,false
76,Abrigo grupo assistencial alvorada nova,Jardim Regina,5174120,São Paulo,,gaan@gaan.org.br,rua dr. andré peggion 620,,SP,,de 0 a 18 anos,20,Brasil,,,,11-3906-0213,"['Rua Doutor André Peggion, 620, Pirituba, São Paulo - SP, 05174-120, Brasil, São Paulo, SP 05174-120, BRA', (-23.47465, -46.74465)]","-23.47465,-46.74465",,,false,false
77,Recanto das esmeraldas,Jardim Regina,,São Paulo,Ligada a ONG Associação Proteção Habitacional das Crianças Carentes.,,rua estevão mauser 651,,SP,,de 0 a 18 anos,12,Brasil,,,,11-3941-2843,"['Rua Stéfano Mauser, 651, Pirituba, São Paulo - SP, 05175-200, Brasil, São Paulo, SP 05175-200, BRA', (-23.47335, -46.73594)]","-23.47335,-46.73594",,,false,false
78,Recanto fenix,Jardim Regina,,São Paulo,Ligada a ONG Associação Proteção Habitacional das Crianças Carentes.,,rua estefano mauser 651,,SP,,de 0 a 18 anos,14,Brasil,,,,11-3941-2843,"['Rua Stéfano Mauser, 651, Pirituba, São Paulo - SP, 05175-200, Brasil, São Paulo, SP 05175-200, BRA', (-23.47335, -46.73594)]","-23.47335,-46.73594",,,false,false
79,Casa abrigo jardim angela,Jardim Rivieira,,São Paulo,Ligado a ONG Sociedade Santos Mártires.,administracao@santosmartires.org.br,rua fracisco primatice 426,,SP,,de 0 a 18 anos,20,Brasil,,,,-11,"['Avenida Francesco Primatice, 426, Jardim São Luís, São Paulo - SP, 04925-090, Brasil, São Paulo, SP 04925-090, BRA', (-23.70814, -46.74515)]","-23.70814,-46.74515",,,false,false
80,Projeto autonomia e solidariedade - passos - abrigo iv,Jardim Rosa Maria,,São Paulo,Ligado a ONG Liga das Senhoras Católicas de São Paulo.,adm@ligasolidaria.org.br,rua pascoal zulino 79,,SP,,de 16 a 18 anos,34,Brasil,,,,11-3785-4195,"['Rua Pascoal Zulino, 79, Raposo Tavares, São Paulo - SP, 05547-100, Brasil, São Paulo, SP 05547-100, BRA', (-23.59093, -46.76969)]","-23.59093,-46.76969",,,false,false
81,Abrigo lar união i,Jardim São Bernardo,4844600,São Paulo,Ligado a ONG União dos Moradores da Comunidade Sete de Setembro.,abrigolaruniao@ig.com.br,rua rudepoema 56,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5939-7219,"['Rua Rodepoema, 56, Grajau, São Paulo - SP, 04844-600, Brasil, São Paulo, SP 04844-600, BRA', (-23.7580859, -46.7055952)]","-23.7580859,-46.7055952",,,false,false
82,Casa abrigo lar união ii,Jardim São Nicolau,4802080,São Paulo,Ligado a ONG União dos Moradores da Comunidade Sete de Setembro.,laruniao2@ig.com.br,rua cristina de vasconcelos ceccato 134,,SP,,de 0 a 18 anos,20,Brasil,,Helena,,11-5666-7367,"['Rua Cristina de Vasconcelos Ceccato, 134, Cidade Dutra, São Paulo - SP, 04802-080, Brasil, São Paulo, SP 04802-080, BRA', (-23.71058, -46.705)]","-23.71058,-46.705",,,false,false
83,Maesp unidade i,Jardim Saúde,4132000,São Paulo,Entidade que abriga crianças e adolescentes filhos de encarcerados carentes,maesp.sp@uol.com.br,av. do cursino 338,,SP,,de 0 a 18 anos,23,Brasil,,Denise,,11-5062-8007,"['Avenida do Cursino, 338, Cursino, São Paulo - SP, 04133-000, Brasil, São Paulo, SP 04133-000, BRA', (-23.60559, -46.61628)]","-23.60559,-46.61628",,,false,false
84,Lar da criança frei leopoldo,Jardim Tremembe,2315130,São Paulo,,larfreileopoldo@ig.com.br,rua leda maria 140,,SP,,de 0 a 18 anos,19,Brasil,,,,11-2261-3960,"['Rua Leda Maria, 140, Tremembé, São Paulo - SP, 02315-130, Brasil, São Paulo, SP 02315-130, BRA', (-23.45887, -46.59905)]","-23.45887,-46.59905",,,false,false
85,Caritás diocesana de campo limpo,Jardim Umarizal,5756350,São Paulo,,caritas@diocesedecampolimpo.org.br,av. das colméias 446,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5841-5108,"['Avenida das Colméias, 446, Campo Limpo, São Paulo - SP, 05756-350, Brasil, São Paulo, SP 05756-350, BRA', (-23.6213799, -46.75414)]","-23.6213799,-46.75414",,,false,false
86,Abrigo luz do mirante,Jd. São Paulo,2044140,São Paulo,,abrigo@caspiedade.org.br,rua pedro madureira 336,,SP,,,,Brasil,,,,11-2129-6615,"['Rua Pedro Madureira, 336, Santana, São Paulo - SP, 02044-140, Brasil, São Paulo, SP 02044-140, BRA', (-23.49424, -46.61859)]","-23.49424,-46.61859",,,false,false
87,Lar vinícius (casa 3),Jd.Bonfiglioli,05593-010,São Paulo,,larvinicius@yahoo.com.br,rua poetisa colombina 407,,SP,,,,Brasil,,,,11-3733-6342,"['Rua Poetisa Colombina, 407, Butantã, São Paulo - SP, 05593-010, Brasil, São Paulo, SP 05593-010, BRA', (-23.58072, -46.73775)]","-23.58072,-46.73775",,,false,false
88,Aproses centro social - projeto três corações - abrigo,Liberdade,1525020,São Paulo,Ligada a ONG Assistência e Promoção Social Exército de Salvação.,aproses@salvos.org.br,rua pandiá calógeras 109,,SP,,de 0 a 18 anos,10,Brasil,,,,11-3271-8511,"['Rua Pandiá Calógeras, 109, Liberdade, São Paulo - SP, 01525-020, Brasil, São Paulo, SP 01525-020, BRA', (-23.56452, -46.63411)]","-23.56452,-46.63411",,,false,false
89,Projeto mudar,Luz,1103200,São Paulo,,projetomudar@superig.com.br,rua da cantareira 952,,SP,,,,Brasil,,,http //www.mudar.org.br,11-3229-8327,"['Rua da Cantareira, 952, Bom Retiro, São Paulo - SP, 02290-000, Brasil, São Paulo, SP 02290-000, BRA', (-23.53599, -46.62756)]","-23.53599,-46.62756",,,false,false
90,Associação aliança pela vida - alivi,Mandaqui,2441000,São Paulo,,alivi@ositc.com.br,av. ultramarino 78,,SP,,,,Brasil,,,,11-62310467,"['Avenida Ultramarino, 78, Mandaqui, São Paulo - SP, 02441-000, Brasil, São Paulo, SP 02441-000, BRA', (-23.47613, -46.63711)]","-23.47613,-46.63711",,,false,false
91,Casa lar novo mundo,Mandaqui,,São Paulo,,,rua antonio dias da silva 371,,SP,,,,Brasil,,,,11-2233-4146,"['Rua Antônio Dias da Silva, 371, Cachoeirinha, São Paulo - SP, 02618-110, Brasil, São Paulo, SP 02618-110, BRA', (-23.46707, -46.64994)]","-23.46707,-46.64994",,,false,false
92,Casa pequeno príncipe tim,Mandaqui,,São Paulo,,,rua mateus garcia 686,,SP,,,,Brasil,,,,11-6952-8480,"['Rua Mateus Garcia, 686, Tremembé, São Paulo - SP, 02374-000, Brasil, São Paulo, SP 02374-000, BRA', (-23.45269, -46.62352)]","-23.45269,-46.62352",,,false,false
93,Casa raízes e asas,Mandaqui,,São Paulo,,,rua josé arnoni 29,,SP,,,,Brasil,,,,11-6953-5784,"['Rua José Arnoni, 29, Tremembé, São Paulo - SP, 02375-120, Brasil, São Paulo, SP 02375-120, BRA', (-23.45301, -46.62392)]","-23.45301,-46.62392",,,false,false
94,Associação de apoio à criança com câncer,Moema,4038034,São Paulo,,rosangela.red@aacc.org.br,rua borges lagoa 1603,,SP,,,,Brasil,,,http //www.aacc.org.br,11-5082-5434,"['Rua Borges Lagoa, 1603, Moema, São Paulo - SP, 04038-034, Brasil, São Paulo, SP 04038-034, BRA', (-23.59647, -46.65228)]","-23.59647,-46.65228",,,false,false
95,Casa vida ii,Mooca,3170050,São Paulo,Ligada ao Centro Social Nossa Senhora do Bom Parto,casa02devida@hotmail.com,rua sapucaia 281,,SP,,de 0 a 18 anos,22,Brasil,,,http //www.acolhe.org.br,11-2796-4002,"['Rua Sapucaia, 281, Móoca, São Paulo - SP, 03170-050, Brasil, São Paulo, SP 03170-050, BRA', (-23.54885, -46.59304)]","-23.54885,-46.59304",,,false,false
96,Lar da redenção,Mooca,3169010,São Paulo,A instituição abriga crianças e adolescentes com necessidades especiais.,lardaredencao@lardaredencao.org.br,rua cassandoca 535,,SP,,de 0 a 18 anos,11,Brasil,,,,11-26054879,"['Rua Cassandoca, Fazenda Serra Mar, Caraguatatuba - SP, 11665-570, Brasil, Caraguatatuba, SP 11665-570, BRA', (-23.65388, -45.42918)]","-23.65388,-45.42918",,,false,false
97,Roberto borghi,Nossa Senhara do Ó,2926000,São Paulo,Ligado a ONG COR - Centro de Orientação a família.,CORFAMILIA@UOL.COM.BR,rua chico de paula 442,,SP,,de 0 a 18 anos,20,Brasil,,,0,11-3935-1700,"['Rua Chico de Paula, 442, Freguesia do Ó, São Paulo - SP, 02926-000, Brasil, São Paulo, SP 02926-000, BRA', (-23.50035, -46.7023)]","-23.50035,-46.7023",,,false,false
98,Associação beneficente a criança desamparada nossa casa,Pacaembu,01251-060,São Paulo,,abcdnossacasa@hotmail.com,rua atalaia 175 d,,SP,,de 0 a 18 anos,19,Brasil,,,,11-3868-1610,"['Rua Atalaia, 175D, Perdizes, São Paulo - SP, 01251-060, Brasil, São Paulo, SP 01251-060, BRA', (-23.54666, -46.67607)]","-23.54666,-46.67607",,,false,false
99,Nossa senhora auxiliadora,Parada XV de Novembro,8246010,São Paulo,Ligada a ONG Obra Social Dom Bosco.,geral@domboscoitaquera.org.br,rua jairo franco 42,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2205-3460,"['Rua Doutor Jairo Franco, 42, Itaquera, São Paulo - SP, 08246-010, Brasil, São Paulo, SP 08246-010, BRA', (-23.52969, -46.44262)]","-23.52969,-46.44262",,,false,false
100,Associação  beneficente vivenda da criança,Parelheiros,4882010,São Paulo,,vivendacrianca@terra.com.br,rua henrique hessel 300,,SP,,de 0 a 18 anos,5,Brasil,,,,11-5920-8492,"['Rua Henrique Hessel, 300, Parelheiros, São Paulo - SP, 04882-010, Brasil, São Paulo, SP 04882-010, BRA', (-23.80272, -46.7373199)]","-23.80272,-46.7373199",,,false,false
101,Instituto pivi,Parque Mandaqui,2418050,São Paulo,,pivi@pivi.org.br,rua capitão joão noronha 208,,SP,,,,Brasil,,,http //pivi.org.br,11-3476.5416,"['Rua Capitão João Noronha, 198, Mandaqui, São Paulo - SP, 02418-050, Brasil, São Paulo, SP 02418-050, BRA', (-23.4715449, -46.62808)]","-23.4715449,-46.62808",,,false,false
102,Associação beneficente sonho de criança,Parque Maria Helena,5855300,São Paulo,,casalarsonho@globo.com,rua dr. luiz da fonseca galvão 145,,SP,,de 0 a 18 anos,19,Brasil,,,,11-5510-0761,"['Rua Luís da Fonseca Galvão, 145, Capão Redondo, São Paulo - SP, 05855-300, Brasil, São Paulo, SP 05855-300, BRA', (-23.6616399, -46.7669)]","-23.6616399,-46.7669",,,false,false
103,Casa lar i,Parque Peruche,2535060,São Paulo,Ligada a ONG Instituição Filantrópica e Educacional Parábola.,,rua diógenes de lima 393,,SP,,de 0 a 18 anos,15,Brasil,,,,11-2255-5253,"['Rua Diógenes de Lima, 393, Casa Verde, São Paulo - SP, 02535-060, Brasil, São Paulo, SP 02535-060, BRA', (-23.49624, -46.64931)]","-23.49624,-46.64931",,,false,false
104,Casa acolhida leste,Parque Sonia,8020120,São Paulo,Ligada a ONG Fundação Projeto Travessia,,rua caetano rodrigues costa 52,,SP,,de 0 a 18 anos,20,Brasil,,,,11-3105-1059,"['Rua Caetano Rodrigues Costa, 52, São Miguel, São Paulo - SP, 08020-120, Brasil, São Paulo, SP 08020-120, BRA', (-23.50114, -46.44342)]","-23.50114,-46.44342",,,false,false
105,Casa serena,Perdizes,5021000,São Paulo,,,rua cotoxó 300,,SP,,de 9 a 18 anos,20,Brasil,,,http //casaserena.org.br/site/,11-2528-4884,"['Rua Cotoxó, 300, Perdizes, São Paulo - SP, 05021-000, Brasil, São Paulo, SP 05021-000, BRA', (-23.5297899, -46.68338)]","-23.5297899,-46.68338",,,false,false
106,Fundação josé jorge antonio mauad,Perdizes,1259000,São Paulo,,,rua havai 98,,SP,,de 0 a 18 anos,7,Brasil,,,,11-3868-1001,"['Rua Havaí, 98, Perdizes, São Paulo - SP, 01259-000, Brasil, São Paulo, SP 01259-000, BRA', (-23.54314, -46.6841099)]","-23.54314,-46.6841099",,,false,false
107,Abrigo são judas tadeu,Planalto Paulista,04061-003,São Paulo,"O Abrigo São Judas Tadeu foi inaugurado em 2008 e acolhe cerca de 20 crianças e adolescentes em regime de internato. Ele é uma das obras sociais do IMSJT (Instituto Meninos de São Judas Tadeu), fundado em 1946 pela Congregação dos Padres do Sagrado Coração de Jesus (Dehonianos).",abrigosaojudastadeu@imsjt.org.br,av. itacira 2800,,SP,,,20,Brasil,,Fabiana Gonçalves,http //www.imsjt.org.br/abrigo-sao-judas-tadeu,11-5586-8666,"['Avenida Itacira, 2800, Saúde, São Paulo - SP, 04061-003, Brasil, São Paulo, SP 04061-003, BRA', (-23.62632, -46.64387)]","-23.62632,-46.64387",,,false,false
108,Lar das crianças casa do caminho,Praça XV de Novembro,8246050,São Paulo,,lardascriancas1@terra.com.br,rua jiparaná 721,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2205-9128,"['Rua Jiparaná, 721, Itaquera, São Paulo - SP, 08246-050, Brasil, São Paulo, SP 08246-050, BRA', (-23.52921, -46.43985)]","-23.52921,-46.43985",,,false,false
109,Lar dom luiz caburlotto,Santa Rita do Passa Quatro,13670000,São Paulo,,,rua victor meirelles 191,,SP,,,,Brasil,,,,19-3582.1524,"['Rua Victor Meirelles, 191, Jardim Esmeraldina, Campinas - SP, 13046-545, Brasil, Campinas, SP 13046-545, BRA', (-22.9345399, -47.01281)]","-22.9345399,-47.01281",,,false,false
110,Orfanato cotic unidade 3,Santa Terezinha,,São Paulo,,cotic@superig.com.br,r. luis antonio dos santos 432,,SP,,,,Brasil,,,http //cotic.org.br,11-2261-5797,"['Rua Luís Antônio dos Santos, 432, Santana, São Paulo - SP, 02460-000, Brasil, São Paulo, SP 02460-000, BRA', (-23.49095, -46.6370999)]","-23.49095,-46.6370999",,,false,false
111,Abrigo lar santana,Santana,2020001,São Paulo,,larsantana@caspiedade.org.br,rua marechal hermes da fonseca 583,,SP,,,,Brasil,,,,11-3467-3707,"['Rua Marechal Hermes da Fonseca, 583, Santana, São Paulo - SP, 02020-008, Brasil, São Paulo, SP 02020-008, BRA', (-23.49497, -46.6326899)]","-23.49497,-46.6326899",,,false,false
112,Casa de amparo ao menor tia marly,Santana,2036022,São Paulo,,contato@casatiamarly.org.br,rua duarte de azevedo 608 zona norte,,SP,,de 0 a 10 anos,,Brasil,,,www.casatiamarly.org.br,11-2099-3725,"['Rua Duarte de Azevedo, 608, Santana, São Paulo - SP, 02036-022, Brasil, São Paulo, SP 02036-022, BRA', (-23.50112, -46.61998)]","-23.50112,-46.61998",,,false,false
113,Lar anjo gabriel,SANTANA,2018011,São Paulo,,,rua conselheiro moreira de barros 297,,SP,,de 3 a 7 anos,60,Brasil,,,http //www.laranjogabriel.com.br,11-2973-2727,"['Rua Conselheiro Moreira de Barros, 297, Santana, São Paulo - SP, 02018-010, Brasil, São Paulo, SP 02018-010, BRA', (-23.4966048, -46.6283885)]","-23.4966048,-46.6283885",,,false,false
114,Pe. damian kirckgessner,Santana,2404100,São Paulo,Ligado a ONG COR - Centro de Orientação a família.,cor.apdk@uol.com.br.,rua padre donizetti tavares de lima 198,,SP,,de 0 a 18 anos,20,Brasil,,Celia Regina,,11-2959-5002,"['Rua Padre Donizetti Tavares de Lima, 198, Vila Voturuá, São Vicente - SP, 11380-590, Brasil, São Vicente, SP 11380-590, BRA', (-23.9611766, -46.3668616)]","-23.9611766,-46.3668616",,,false,false
115,Abrigo casa 1,Santo Amaro,4747090,São Paulo,Ligado a ONG Casa da Criança e do Adolescente de Santo Amaro - GROSSARL.,casagrossarl@ig.com.br,rua padre chico,,SP,,de 0 a 18 anos,20,Brasil,,ABRIGO CASA 2,,11-5686-3288,"['Rua Padre Chico, Perdizes, São Paulo - SP, 05008-010, Brasil, São Paulo, SP 05008-010, BRA', (-23.52918, -46.68338)]","-23.52918,-46.68338",,,false,false
116,Abrigo casa 2,Santo Amaro,4747090,São Paulo,Ligado a ONG Casa da Criança e do Adolescente de Santo Amaro - GROSSARL.,casagrossarl@ig.com.br,rua padre chico 436,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5686-3288,"['Rua Padre Chico, 436, Santo Amaro, São Paulo - SP, 04747-090, Brasil, São Paulo, SP 04747-090, BRA', (-23.65597, -46.69523)]","-23.65597,-46.69523",,,false,false
117,Casa da criança e adolescente santo amaro grossarl,Santo Amaro,4747090,São Paulo,,administracao@casadacriancasantoamaro.org.br,rua padre chico 308/320,,SP,,de 0 a 18 anos,,Brasil,,,http //www.casadacriancasantoamaro.org.br/,11-3624-2660,"['Rua Padre Chico, 320, Santo Amaro, São Paulo - SP, 04747-090, Brasil, São Paulo, SP 04747-090, BRA', (-23.65666, -46.69616)]","-23.65666,-46.69616",,,false,false
118,Lar vila acalanto,Santo Amaro - Zona Sul,4901000,São Paulo,,acalanto@acalanto.org.br,estrada de guarapiranga 1050,,SP,,,,Brasil,,,http //www.acalanto.org.br,11-5514 6327,"['Estrada de Guarapiranga, Jardim São Luís, São Paulo - SP, 04911-005, Brasil, São Paulo, SP 04911-005, BRA', (-23.6854, -46.74893)]","-23.6854,-46.74893",,,false,false
119,Lar saint germain,São Domingos,5133100,São Paulo,,daniela@larsaintgermain.org.br,r. são francisco de assis 783,,SP,,,,Brasil,,,http //www.larsaintgermain.org.br,11-3906-8474,"['Rua São Francisco de Assis, 783, São Domingos, São Paulo - SP, 05133-100, Brasil, São Paulo, SP 05133-100, BRA', (-23.48776, -46.73987)]","-23.48776,-46.73987",,,false,false
120,Casa dom luciano,Tatuapé,3086040,São Paulo,Ligada ao Centro Social Nossa Senhora do Bom Parto,casadomluciano@ig.com.br,rua síria 248,,SP,,de 0 a 17 anos,22,Brasil,,Erica ou Viviane,www.acolhe.org.br,11-2092-5046,"['Rua Síria, 248, Tatuapé, São Paulo - SP, 03086-040, Brasil, São Paulo, SP 03086-040, BRA', (-23.53154, -46.5662)]","-23.53154,-46.5662",,,false,false
121,Lar da criança ninho de paz,Tatuapé,3316070,São Paulo,,ninhodepaz@ig.com.br,rua praça heitor levi 07,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2097-2839,"['Praça Heitor Levy, Tatuapé, São Paulo - SP, 03316-070, Brasil, São Paulo, SP 03316-070, BRA', (-23.5400199, -46.56092)]","-23.5400199,-46.56092",,,false,false
122,Lar mãe do divino amor,Tatuapé,3335090,São Paulo,,lemda@uol.com.br,rua francisco ziccardi 420,,SP,,,47,Brasil,,,http //www.larmae.com.br/index2.html,11-6671-5047,"['Rua Francisco Zicardi, 420, Vila Formosa, São Paulo - SP, 03335-090, Brasil, São Paulo, SP 03335-090, BRA', (-23.5587, -46.56663)]","-23.5587,-46.56663",,,false,false
123,Casa de david tabernáculo espírita para excepcionais,Vila Airosa,2284000,São Paulo,,juridicocasadedavid@uol.com.br,rodovia fernão dias km 82,,SP,,de 14 a 18 anos,5,Brasil,,,,11-2453-6600,"['Rodovia Fernão Dias, Mairiporã - SP, 07600-000, Brasil, Mairiporã, SP 07600-000, BRA', (-23.28152, -46.58706)]","-23.28152,-46.58706",,,false,false
124,Casa lar estrela brilha,Vila Amália,,São Paulo,,,r. antonio dias da silva 371,,SP,,,,Brasil,,,http //www.casalarestrelabrilha.org.br,11-2233-4146,"['Rua Antônio Dias da Silva, 371, Cachoeirinha, São Paulo - SP, 02618-110, Brasil, São Paulo, SP 02618-110, BRA', (-23.46707, -46.64994)]","-23.46707,-46.64994",,,false,false
125,Nossa senhora auxiliadora - ages,Vila Anatácio,5093050,São Paulo,,agesgaudium@uol.com.br,rua martinho de campos 420,,SP,,de 0 a 18 anos,20,Brasil,,CENTRO ESPÍRITA IRMÃ NICE I,,11-3641-4199,"['Rua Martinho de Campos, 420, Lapa, São Paulo - SP, 05093-050, Brasil, São Paulo, SP 05093-050, BRA', (-23.51485, -46.72175)]","-23.51485,-46.72175",,,false,false
126,Laura vicugna,Vila Aurea,8411090,São Paulo,Ligada a ONG Obra Social Dom Bosco.,geral@domboscoitaquera.org.br,rua coutinho e melo 34,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2557-5427,"['Rua Coutinho e Melo, 34, Guaianases, São Paulo - SP, 08411-090, Brasil, São Paulo, SP 08411-090, BRA', (-23.54708, -46.40923)]","-23.54708,-46.40923",,,false,false
127,Associação casa de apoio amigos da vida - acaav,Vila Bancária,3918080,São Paulo,,acaav@acaav.org.br,rua do controle 96,,SP,,de 0 a 18 anos,20,Brasil,,Elisangela,,11-2302-6821,"['Rua do Controle, 96, Sapopemba, São Paulo - SP, 03918-080, Brasil, São Paulo, SP 03918-080, BRA', (-23.58956, -46.52175)]","-23.58956,-46.52175",,,false,false
128,Creca,Vila Buarque,1224030,São Paulo,Ligada a ONG Instituto Mensageiros.,instituto@institutomensageiros.org.br,rua fortunato 117/119,,SP,,de 0 a 18 anos,20,Brasil,,,,11-3333-5595,"['Rua Fortunato, 117, Santa Cecília, São Paulo - SP, 01224-030, Brasil, São Paulo, SP 01224-030, BRA', (-23.53992, -46.65159)]","-23.53992,-46.65159",,,false,false
129,Casa abrigo irmã maria santos costa,Vila Carmosina,8295001,São Paulo,Ligada a ONG Obra Social Dom Bosco.,geral@domboscoitaquera.org.br,av. itaquera 7486,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2286-1666,"['Avenida Itaquera, 7486, Itaquera, São Paulo - SP, 08210-435, Brasil, São Paulo, SP 08210-435, BRA', (-23.5453, -46.46073)]","-23.5453,-46.46073",,,false,false
130,Casa da criança betinho -lar espírita para excepcionais,Vila Carrão,3433025,São Paulo,,casabetinho@uol.com.br,rua vacanga 300,,SP,,de 1 a 18 anos,89,Brasil,,,,11-27817366,"['Rua Vacanga, 300, Carrão, São Paulo - SP, 03433-025, Brasil, São Paulo, SP 03433-025, BRA', (-23.56021, -46.53232)]","-23.56021,-46.53232",,,false,false
131,Centro espírita irmã nice i,Vila Carrão,3420000,São Paulo,,,rua dentista barreto 978,,SP,,de 0 a 18 anos,14,Brasil,,,,11-2296-3462,"['Rua Dentista Barreto, 978, Carrão, São Paulo - SP, 03420-000, Brasil, São Paulo, SP 03420-000, BRA', (-23.55005, -46.54568)]","-23.55005,-46.54568",,,false,false
132,Centro espírita irmã nice ii,Vila Carrão,3421000,São Paulo,,,rua evangelina 687,,SP,,de 0 a 18 anos,24,Brasil,,,,11-2294-8312,"['Rua Evangelina, 687, Carrão, São Paulo - SP, 03421-000, Brasil, São Paulo, SP 03421-000, BRA', (-23.54906, -46.54368)]","-23.54906,-46.54368",,,false,false
133,Lar da infância de nice,Vila Carrão,342000,São Paulo,,nice@lardenice.com.br,rua dentista barreto 978,,SP,,,,Brasil,,Edileusa,http //www.lardenice.com.br/,11-2941-5900,"['Rua Dentista Barreto, 978, Carrão, São Paulo - SP, 03420-000, Brasil, São Paulo, SP 03420-000, BRA', (-23.55005, -46.54568)]","-23.55005,-46.54568",,,false,false
134,Associação cruz verde,Vila Clementino,4037002,São Paulo,A instituição abriga crianças e adolescentes portadores de paralisia cerebral grave.,cruzverde@cruzverde.org.br,rua dr. diogo de faria 695,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5579-7335,"['Rua Doutor Diogo de Faria, 695, Vila Mariana, São Paulo - SP, 04037-002, Brasil, São Paulo, SP 04037-002, BRA', (-23.59588, -46.6434799)]","-23.59588,-46.6434799",,,false,false
135,3º lar - joão paulo,VILA CORDEIRO,4580030,São Paulo,,voluntariado@helendrexel.org.br,rua filinto gomes da silva 35,Associação Maria Helen Drexel - AMHD,SP,,,,Brasil,,,www.helendrexel.org.br,11-3628-1891,"['Rua Filinto Gomes Silva, 35, Itaim Bibi, São Paulo - SP, 04580-030, Brasil, São Paulo, SP 04580-030, BRA', (-23.61536, -46.69154)]","-23.61536,-46.69154",,,false,false
